Band/ Group Name/ Performer,Song Name,Guitar Techniques #,Year,Month,Style,Type,Key,Ability Rating,Tempo,CD,Pages,GT Tutor,Comment,Will Improve Your
Dire Straits,Why Worry,,1999,December,Acoustic,Complete track,,Moderate,,Tracks 5-6,,Eric Roche,,
Dixie Dregs,Take It Off The Top,95,2004,February,Rock,Complete track,,Moderate/Advance,,Tracks 10-13,,Guthrie Govan,,
Django Reinhardt,GT tribute to Django Reinhardt,214,2013,March,Gypsy Jazz,Complete track,F,Moderate,200 bpm,Tracks 26-28,34-41,John Wheatcroft,,
Django Reinhardt,Minor Swing,169,2009,September,Gypsy Jazz,Complete track,A minor,Moderate/Advance,196/202 bpm,Tracks 26-28,,John Wheatcroft,,
Django Reinhardt,Tears,,1999,Spring,Gypsy Jazz,Complete track,,Moderate,,Tracks 10-11,,Martin Taylor,,
Django Reinhardt,Nuages,236,2014,November,Gypsy Jazz,Complete track,F,Moderate/Advance,130/116 bpm,Tracks 22-23,30-38,John Wheatcroft,,
Dokken,Mr Scary,182,2010,September,Hard Rock,Complete track,G,Advanced,121 bpm,Tracks 12-14,,James Humphries,,
Domenico Scarlatti,Sonata In A Major,218,2013,June,Classical,Complete track,A,Moderate/Advance,80 bpm,Tracks 44-45,44-48,Bridget Mermikides,,
Don McLean,Vincent,91,2003,November,Rock ballad,Complete track,,Easy,,Tracks 10-14,,Eric Roche,,
"Doobie Brothers, The",Long Train Running,,2003,June,Rock,Riff,,,,Track 8,22,,,
Dr Feelgood,Milk And Alcohol,,1997,September,Rock,Complete track,,,,Track 6,,Lee Hodgson,,
Dream Theater,Erotomania,135,2007,February,Prog,Complete track,,Advanced,,Tracks 9-10,,Charlie Griffiths,,
Dream Theater,Hell's Kitchen,117,2005,November,Rock,Complete track,,Hard,,Tracks 18-20,,James Humphries,,
Dream Theater,Pull Me Under,165,2009,May,Prog,Complete track,,Moderate/Advance,,Tracks 15-16,,Charlie Griffiths,,
Duane Eddy,Peter Gun,43,2000,March,Rock,Complete track,,Easy,,Tracks 11-14,,James Humphries,,
Duet In A Minor,Joseph Kuffner,,1998,April,Classical,Complete track,,Easy,,Track 9,,Eric Roche,,
Duke Ellington,Sophisticated Lady,,1997,October,Jazz,Complete track,,,,Track 4,,Frank Evans,,
Duke Ellington,In A Sentimental Mood,,1998,January,Jazz,Complete track,,,,Track 5,,Frank Evans,,
"Eagles, The",Hotel California,76,2002,September,Rock,Solo,,Moderate,,Tracks 11-14,,Phil Hilborne,,
"Eagles, The",Hotel California,187,2011,February,Rock,Complete track,Bm,Moderate/Difficult,74 bpm,Tracks 4-5,,James Humphries,,
"Eagles, The",Life In The Fast Lane,133,2006,December,Rock,Complete track,,Moderate,,Tracks 9-11,18-27,James Humphries,,
"Eagles, The",Lyin' Eyes,62,2001,September,Country,Complete track,,Moderate,,Tracks 2-5,,Lee Hodgson,,
"Eagles, The",One Of These Nights,160,2009,January,Rock,Complete track,,Moderate,,Tracks 7-8,,Steve Allsworth,,
"Eagles, The",Victim Of Love,108,2005,February,Rock,Complete track,,Moderate,,Tracks 14-16,,James Humphries,,
Earl Klugh,Kiko,,1999,February,Jazz,Complete track,,Moderate/Hard,,Tracks 13-14,,Martin Taylor,,
Easybeats,Friday On My Mind,,1998,April,Rock,Complete track,,Moderate,,Track 5,,James Humphries,,
Eddie Cochran,Summertime Blues,,1998,Xmas,Rock,Riff,,,,,,Phil Hilborne,,
Eduardo Di Capua,O Sole Mio,250,2015,December,Classical,Complete track,Various,Moderate,Various,Tracks 36-37,44-48,Bridget Mermikides,,
Edward Elgar,Nimrod,225,2014,January,Classical,Complete track,Drop D,Moderate/Advance,40 bpm,Tracks 9-10,44-48,Bridget Mermikides,,
Elmore James,It Hurts Me Too,,1997,May,Blues,Complete track,,,,Track 2,,Geoff Whitehorn,,
Elvis Presley,That's All Right Mama,148,2008,February,Rock & Roll,Complete track,,Easy/Moderate,,Tracks 4-5,,Steve Allsworth,,
Entique Granados,Dedicatoria,79,2002,December,Classical,Complete track,,Moderate/Advance,,Tracks 18-19,70-73,,,"Extracting melody from accompaniment, Arpeggio playing, Command of higher positions"
Eric Bibb,In My Father's House,162,2009,March,Acoustic Blues,Complete track,,Moderate,,Track 8,,Stuart Ryan,,
Eric Clapton,All Your Love,,1996,March,Blues,Part 1,,,,Tracks 3-5,,Geoff Whitehorn,,
Eric Clapton,All Your Love,,1996,April,Blues,Part 2,,,,,,,,
Eric Clapton,Bad Love,144,2007,October,Rock,Complete track,,Moderate/Difficult,,Tracks 19-21,,Jon Bishop,,
Eric Clapton,Change The World,,1998,January,Unplugged,Complete track,,,,Track 10,,Dave Kilminster,,
Eric Clapton,Cocaine,96,2004,March,Rock,Complete track,,Moderate,,Tracks 4-6,,James Humphries,,
Eric Clapton,Edge Of Darkness,,1997,April,,Complete track,,,,Track 7,,Phil Hilborne,,
Eric Clapton,Hideaway,,1997,August,Blues,Complete track,,,,Track 12,,Phil Hilborne,,
Eric Clapton,Hideaway,1,1994,March,Blues,,,,,,,Phil Hilborne,,
Eric Clapton,Hideaway,164,2009,Spring,Blues,Complete track,E major,Moderate/Advance,142 bpm,Tracks 4-5,,Richard Barret,,
Eric Clapton,Key To Love,,2002,January,Blues,Complete track,,Moderate,,Tracks 17-19,,Geoff Whitehorn,,
Eric Clapton,Knockin' On The Heaven's Door,,1996,August,Rock,Complete track,,,,Track 7,,Guthrie Govan,,
Eric Clapton,Layla,,1998,December,Rock,Complete track,,Moderate,,Tracks 2-5,,Guthrie Govan,,
Eric Clapton,Layla,189,2011,April,Rock,Complete track,Dm/E/C,Moderate/Advance,116 bpm,Tracks 4-5,,Steve Allsworth,,
Eric Clapton,Reconsider Baby,71,2002,May,Blues,Complete track,,Moderate,,Tracks 5-7,,James Humphries,,
Eric Clapton,Reptile,112,2005,June,Jazz-Blues,Complete track,,Moderate,,Tracks 6-8,,Neville Martin,,
Eric Clapton,Steppin' Out,52,2000,December,Blues,Complete track,,Moderate,,Tracks 9-11,,Geoff Whitehorn,,
Eric Clapton,Wonderful Tonight,,1999,September,Rock,Complete track,,Easy/Moderate,,Tracks 2-5,,Lee Hodgson,,
Eric Clapton,Tears In Heaven,227,2014,March,Acoustic,Complete track,A and G,Moderate,77 bpm,Tracks 16-17,26-32,Jon Bishop,,
Eric Clapton And BB King,Riding With The King,140,2007,June,Blues,Complete track,,Moderate,,Tracks 12-13,,Richard Barret,,
Eric Clapton/Big Bill Broonzy,Hey Hey,206,2012,July,Acoustic Blues,Complete track,E,Moderate/Advance,157 bpm,Track 4,,Tristan Seume,,
Eric Johnson,Cliffs Of Dover,128,2006,August,Rock,Complete track,,Difficult,,Tracks 4-6,16-26,Guthrie Govan,,
Eric Johnson,East Wes,51,2000,November,Rock,Complete track,,Moderate,,Tracks 6-8,,Guthrie Govan,,
Eric Johnson,Manhattan,,1999,August,Rock,Complete track,,Hard,,Tracks 8-10,,Guthrie Govan,,
Eric Johnson,SRV,,1998,July,Rock,Complete track,,Hard,,Track 6,,Guthrie Govan,,
Eric Johnson,The Boogie King,109,2005,March,Rock,Complete track,,Moderate/Advance,,Tracks 12-14,,Dave Kilminster,,
Eric Roche,Ain't Misbehavin',72,2002,June,Rock,Complete track,,Moderate,,,,Eric Roche,,
Eric Roche,Cheers (Where Everybody Knows You Name),77,2002,October,Acoustic,Complete track,,Moderate,,Tracks 16-17,,Eric Roche,,
Eric Roche,Eight Years,63,2001,September,Acoustic,Complete track,,Hard,,Tracks 14-15,,Eric Roche,,
Eric Roche,In Dulci Jubilo,,1999,Xmas,Acoustic,Complete track,,Easy,,Tracks 15-18,,Eric Roche,,
Eric Roche,Roundabout,79,2002,December,Acoustic Fingerstyle,Complete track,,Moderate,,Tracks 16-17,62-69,,,
Eric Roche,Smells Like Teen Spirit,131,2006,October,Acoustic,Complete track,,Moderate/Hard,,Tracks 8-9,24-28,Stuart Ryan,,
Eric Roche,The Theme From 'M*A*S*H',,2002,January,Fingerstyle,Complete track,,Moderate,,Tracks 24-25,,Eric Roche,,
Erik Satie,Gnossienne No.1,208,2012,September,Classical,Complete track,C,Moderate,58 bmp,Tracks 13-14,36-40,Bridget Mermikides,,
Erik Satie,Gymnopédies No.1,202,2012,April,Classical,Complete track,E,Moderate,80 bpm,Tracks 22-23,,Bridget Mermikides,,
Erik Satie,Gymnopédie No.3,219,2013,July,Classical,Complete track,B minor,Easy/Moderate,70 bpm,Tracks 41-42,48-51,Bridget Mermikides,,
Erik Satie,Gnossienne No.2,235,2014,October,Classical,Complete track,Open key,Moderate,58 bpm,Track 18,48-51,Bridget Mermikides,,
Erik Satie,Gymnopédie No.2,239,2015,February,Classical,Complete track,Dmaj,Easy/Moderate,64 bpm,Track 18,44-47,Bridget Mermikides,,
Erik Satie,Gnossienne No.3,242,2015,Spring,Classical,Complete track,D minor,Moderate,70 bpm,Tracks 14-15,44-47,Bridget Mermikides,,
Europe,The Final Countdown,123,2006,April,Rock,Complete track,,Moderate/Hard,,Tracks 9-11,,Steve Allsworth,,
Eva Cassidy,Fields Of Cold,97,2004,April,Acoustic Fingerstyle,Complete track,,Easy/Moderate,,Tracks 14-15,,Eric Roche,,
Eva Cassidy,Somewhare Over The Rainbow,159,2008,December,Acoustic,Complete track,,Easy/Moderate,,Track 26,,Stuart Ryan,,
Eva Cassidy,Songbird,115,2005,September,Acoustic,Complete track,,Moderate,,Tracks 15-17,,Pete Callard,,
Eva Cassidy,Autumn Leaves,224,2013,December,Acoustic,Complete track,D♭,Easy/Moderate,90 bpm,Track 35,38-43,James Humphries,,
"Everly Brothers, The",All I Have To Do Is Dream,,1995,October,Rock,,,,,,,,,
Extreme,Song For Love,170,2009,October,Power Ballads,Complete track,E,Moderate/Advance,70-75 bpm,Tracks 9-10,,Steve Allsworth,,
"Faces, The",Stay With Me,,1999,August,Rock,Complete track,,Easy,,Tracks 16-19,,James Humphries,,
Ferdinando Carulli,Andante Grazioso,72,2002,June,Classical,Complete track,,Easy,,Tracks 22-23,,Richard Stokkereit,,
Ferdinando Carulli,Etude in A Minor,,1999,September,,,,,,,,,,
Ferdinando Carulli,Rondo And Minore,,1998,August,Classical,Complete track,,Hard,,,,Eric Roche,,
Ferdinando Carulli,Rondo And Minore (Opus 34),,1998,July,Classical,Complete track,,Hard,,Track 10,,Eric Roche,,
Fernando Sor,Study In A Major,71,2002,May,Classical,Complete track,,Moderate/Advance,,Tracks 19-20,,Richard Stokkereit,,
Fernando Sor,Study In A Minor,167,2009,July,Classical,Complete track,E major,Moderate/Advance,120 bpm,Track 23,,Bridget Mermikides,,
Fernando Sor,Study In C,247,2015,September,Classical,Complete track,C minor,Easy/Moderate,62 bpm,Tracks 39-40,46-49,Bridget Mermikides,,
Fernando Sor,Opus 6. No.9,253,2016,March,Classical,Complete track,Various,Advanced,Various,Tracks 28-29,34-38,Bridget Mermikides,,
Flamenco,Malaguena,47,2000,July,Classical,Complete track,,Easy/Moderate,,Tracks 20-21,,Richard Stokkereit,,
Flamenco,Soleares - Compas,48,2000,August,Classical,Complete track,,Moderate,,Tracks 23-24,,Richard Stokkereit,,
Flamenco,Soleares Falsetas,49,2000,September,Classical,Complete track,,Easy/Moderate,,Tracks 15-19,,Richard Stokkereit,,
Fleetwood Mac,Albatross,45,2000,May,Pop,Complete track,,Easy,,Tracks 8-10,,Lee Hodgson,,
Fleetwood Mac,Albatross,,1996,February,Blues,Complete track,,,,Track 7,,Lee Hodgson,,
Fleetwood Mac,Big Love,132,2006,November,Acoustic,Complete track,,Moderate/Advance,,Tracks 4-5,16-23,Stuart Ryan,,
Fleetwood Mac,Go Your Own Way,186,2011,January,Rock,Complete track,F,Moderate,136 bpm,Tracks 11-12,,Steve Allsworth,,
Fleetwood Mac,Jigsaw Puzzle Blues,,1996,July,Blues,Complete track,,,,Track 3,,Geoff Whitehorn,,
Fleetwood Mac,Jigsaw Puzzle Blues,180,2010,July,Instrumental,Complete track,Various,Moderate,108 bpm,Tracks 7-9,,Neville Martin,,
Fleetwood Mac,Man Of The World,99,2004,June,Rock,Complete track,,Moderate,,Tracks 7-9,,Dave Kilminster,,
Fleetwood Mac,Need Your Love So Bad,69,2002,March,Blues,Complete track,,Moderate,,Tracks 10-12,,Geoff Whitehorn,,
Fleetwood Mac,Never Going Back Again,,1999,October,Acoustic,Complete track,,Moderate/Advance,,Tracks 5-6,,Eric Roche,,
Fleetwood Mac,Oh Well,,1996,December,Rock,Complete track,,,,,,Dave Kilminster,,
Fleetwood Mac,The Green Manalishi,117,2005,November,Rock,Complete track,,Easy/Moderate,,Tracks 14-17,,John Wheatcroft,,
Fleetwood Mac,Oh Well,,2003,June,Rock,Riff,,,,Track 5,19,,,
Focus,Hocus Pocus,94,2004,January,Rock,Complete track,,Easy/Moderate,,Tracks 4-6,,Guthrie Govan,,
Focus,Sylvia,,1995,August,Rock,Complete track,,,,Tracks 10-11,,,,
Focus,Sylvia,209,2012,October,Rock,Complete track,Various,Moderate/Difficult,111 bpm,Tracks 6-7,22-28,James Humphries,,
Foo Fighters,Everlong,102,2004,September,Rock,Complete track,,Easy/Moderate,,Tracks 9-11,,Dave Kilminster,,
Foo Fighters,Monkey Wrench,81,2003,January,Rock,Complete track,,Moderate/Advance,,Tracks 12-14,48-52,James Humphries,,
Foo Fighters,My Hero,60,2001,July,Rock,Complete track,,Moderate,,Tracks 5-8,,James Humphries,,
Francesco Canova Da Milano,Fantasia,51,2000,November,Classical,Complete track,,Moderate,,Tracks 20-21,,Richard Stokkereit,,
Francisco Molino,Prelude In A Minor,70,2002,April,Classical,Complete track,,Easy/Moderate,,Tracks 24-25,,Richard Stokkereit,,
Francisco Tárrega,Adelita,44,2000,April,Classical,Complete track,,Moderate,,Tracks 22-23,,Richard Stokkereit,,
Francisco Tárrega,Gran Vals,201,2012,March,Classical,Complete track,A,Moderate/Advance,Various,Tracks 7-8,,Bridget Mermikides,,
Francisco Tárrega,Gran Vals,,1995,July,Classical,,,,,,,,,
Francisco Tárrega,Lagrima,77,2002,October,Classical,Complete track,,Easy/Moderate,,Tracks 18-19,,Richard Stokkereit,,
Francisco Tárrega,Pavana,215,2013,April,Classical,Complete track,C,Moderate,58 bpm,Tracks 32-33,44-47,Bridget Mermikides,,
Francisco Tárrega,Recuerdos De La Alhambra,135,2007,February,Classical,Complete track,,Advanced,,Tracks 11-12,,Bridget Mermikides,,
Francisco Tárrega,Capricho Árabe,251,2016,January,Classical,Complete track,Various,Advanced,55 bpm,Track 21,42-48,Bridget Mermikides,,
Franco Morone,O'Carolan's Concerto,92,2003,December,Acoustic Fingerstyle,Complete track,,Moderate,,Track 14,,,,
Frank Zappa,Zoot Allures,99,2004,June,Rock,Complete track,,Moderate/Hard,,Tracks 4-6,,Guthrie Govan,,
Freddie King,Have You Ever Loved A Woman,50,2000,October,Blues,Complete track,,Easy/Moderate,,Tracks 5-7,,Geoff Whitehorn,,
Freddie King,San-Ho-Zay,,2002,Summer,Blues,Complete track,,Moderate,,Tracks 10-12,,Geoff Whitehorn,,
Freddie King,The Stumble,,1997,July,Blues,Complete track,,,,Track 2,,Geoff Whitehorn,,
Freddie King,Takin' Care Of Business,229,2014,Spring,Blues,Complete track,D♭,Moderate,128 bpm,Tracks 22-23,30-36,Jon Bishop,,
Free,All Right Now,192,2011,June,Rock,Complete track,A,Moderate,119 bpm,Tracks 4-5,,Steve Allsworth,,
Free,The Hunter,62,2001,August,Blues,Complete track,,Moderate,,Tracks 4-7,,Geoff Whitehorn,,
Free,The Stealer,86,2003,June,Rock,Complete track,,Easy/Moderate,,Tracks 12-15,,Geoff Whitehorn,,
Free,Wishing Well,253,2016,March,Rock,Complete track,E minor,Moderate,120 bpm,Tracks 26-27,26-32,Richard Barret,,
G3,Going Down,125,2006,May,Rock,Complete track,,Moderate/Hard,,Tracks 7-9,,James Humphries,,
Gabriel Fauré,Pavane,203,2012,Spring,Classical,Complete track,E minor,Moderate,64 bpm,Tracks 20-21,40-43,Bridget Mermikides,,
"Garner, Erroll",Misty,,1996,February,Jazz,,,,,Track 6,,Frank Evans,,
Gary Moore,Back On The Streets,98,2004,May,Rock,Complete track,,Moderate/Hard,,Tracks 7-9,,James Humphries,,
Gary Moore,Cold Day In Hell,42,2000,February,Blues,Complete track,,Moderate,,Tracks 5-7,,Geoff Whitehorn,,
Gary Moore,Don't Belive A Word,123,2006,April,Blues-Rock,Complete track,,Moderate/Hard,,Tracks 6-8,,Dave Kilminster,,
Gary Moore,Out In The Fields,188,2011,March,Rock,Complete track,D,Moderate/Advance,180 bpm,Tracks 11-12,,Steve Allsworth,,
Gary Moore,Parisienne Walkways,,1999,January,Blues,Complete track,,Easy/Moderate,,Tracks 8-11,,Geoff Whitehorn,,
Gary Moore,Still Got The Blues,,1996,August,Blues,Complete track,,,,Track 3,,Geoff Whitehorn,,
Gary Moore,Still Got The Blues,176,2010,April,Blues,Complete track,A minor,Advanced,52 bpm,Tracks 4-5,,Richard Barret,,
Gary Moore,Stormy Monday Blues,57,2001,April,Blues,Complete track,,Moderate/Hard,,Tracks 2-4,,Geoff Whitehorn,,
Gary Moore,The Loner,,1997,March,Rock,Complete track,,,,Track 8,,Dave Kilminster,,
Gary Moore,The Messiah Will Come Again,214,2013,March,Rock,Complete track,A minor,Moderate/Advance,60 bpm,Tracks 4-6,16-23,Jon Bishop,,
Gary Moore,Walking By Myself,,2002,Summer,Blues,Complete track,,Moderate,,Tracks 7-9,,Phil Hilborne,,
Gary Moore,Cold Day In Hell,235,2014,October,Blues,Complete track,C# minor,Moderate/Advance,100 bpm,Tracks 16-17,36-46,Steve Allsworth,,
Gary Moore,Parisienne Walkways,249,2015,November,Rock,Complete track,A minor,Moderate/Advance,86 bpm,Tracks 21-22,22-28,Richard Barret,,
Gary Moore And BB King,Since I Met You Baby,156,2008,September,Rock,Complete track,,Moderate,,Tracks 8-9,,Steve Allsworth,,
Gene Vincent,Race With The Devil,192,2011,June,Rock & Roll,Complete track,E to F,Moderate/Advance,200 bpm,Tracks 6-7,,Phil Capone,,
Genesis,Horizons,,1997,September,Acoustic,Complete track,,,,Track 9,,Eric Roche,,
Genesis,Ripples,177,2010,Spring,Rock,Complete track,D,Moderate,70 bpm,Tracks 7-9,,James Humphries,,
Geoff Whitehorn,Another Jacket,72,2002,June,Funk Blues,Complete track,,Moderate,,Tracks 17-19,,Geoff Whitehorn,,
George & Ira Gershwin,A Foggy Day,,1996,July,Jazz,Complete track,,,,Track 8,,Frank Evans,,
George & Ira Gershwin,But Not For Me,,1997,May,Jazz,Complete track,,,,Track 6,,Frank Evans,,
George Benson,Breezin',102,2004,September,Jazz,Complete track,,Moderate/Hard,,Tracks 12-14,,Pete Callard,,
George Gershwin,I Got Rhythm,58,2001,May,Jazz,Complete track,,Moderate/Hard,,,,Martin Taylor,,
George Gershwin,I Got Rhythm,56,2001,March,Jazz,Complete track,,Easy,,Tracks 16-17,,Martin Taylor,,
George Gershwin,Summertime,53,2000,Winter,Jazz,Complete track,,Moderate,,Track 38,,Martin Taylor,,
George Gershwin,Summertime,52,2000,December,Jazz,Complete track,,Moderate/Hard,,Track 14,,Martin Taylor,,
George Gershwin,They Can't Take That Awat From Me,54,2001,January,Jazz,Complete track,,Moderate/Hard,,Tracks 25-26,,Martin Taylor,,
George Harrison,My Sweet Load,155,2008,August,Rock,Complete track,,Easy/Moderate,,Tracks 4-6,,Steve Allsworth,,
George Lynch,Mr Scary,53,2000,Winter,Metal,Riff,,,,,,Phil Hilborne,,
Georges Bizet,Habanera,236,2014,November,Classical,Complete track,Dmin/Dmaj,Moderate,53 bpm,Tracks 34-35,48-52,Bridget Mermikides,,
Gerry Rafferty,Baker Street,193,2011,July,Rock,Complete track,D/ D minor,Moderate/Difficult,118 bpm,Tracks 26-27,,Phil Capone,,
Giacomo Puccini,Nessun Dorma,193,2011,July,Classical,Complete track,D,Moderate,60 bpm,Track 31,,Bridget Mermikides,,
Giacomo Puccini,O Mio Babbino Caro,237,2014,December,Classical,Complete track,Dmaj,Moderate,40 bpm,Tracks 39-40,46-49,Bridget Mermikides,,
Giacomo Puccini,Un Bel Di Vedremo,252,2016,February,Classical,Complete track,Various,Moderate,Various,Track 52,42-46,Bridget Mermikides,,
Green Day,Good Riddance (Time Of Your Life),,1999,April,Acoustic,Complete track,,Beginner,,Tracks 14-15,,Eric Roche,,
Greg Howe,Last Minute,,1995,August,Rock,,,,,Track 8,,,,
"Grieg, Edvard",Morning Mood,191,2011,May,Classical,Complete track,C major,Moderate,100 bpm,Tracks 16-17,,Bridget Mermikides,,
"Grieg, Edvard",Solveig's Song,232,2014,July,Classical,Complete track,E minor,Moderate,72 bpm,Tracks 28-29,46-50,Bridget Mermikides,,
"Grieg, Edvard",Hall Of The Mountain King,197,2011,November,Classical,Complete track,A minor,Moderate/Advance,94 bpm,Tracks 56-57,38-41,Bridget Mermikides,,
Guns N' Roses,Knockin' On The Heaven's Door,,1996,August,Rock,Complete track,,,,Track 7,,Guthrie Govan,,
Guns N' Roses,Knockin' On The Heaven's Door,196,2011,October,Rock,Complete track,G,Moderate,66 bpm,Tracks 7-9,,Steve Allsworth,,
Guns N' Roses,Paradise City,136,2007,March,Rock,Complete track,,Advanced,,Tracks 13-14,,Steve Allsworth,,
Guns N' Roses,Sweet Child O'Mine,130,2006,September,Rock,Complete track,,Moderate/Advance,,Tracks 10-12,18-27,John Wheatcroft,,
Guns N' Roses,Welcome To The Jungle,,1998,May,Rock,Complete track,,Hard,,Tracks 6,,Guthrie Govan,,
Guns N' Roses,Welcome To The Jungle,233,2014,August,Rock,Complete track,E,Moderate/Advance,122 bpm,Tracks 3-4,16-23,Steve Allsworth,,
Guthrie Govan,Waves,211,2012,December,Rock,Complete track,F# minor,Advanced,78 bpm,Tracks 24-25,34-45,Guthrie Govan,,
Guthrie Govan,Wonderful Slippery Thing,110,2005,January,Rock,Complete track,,Advanced,,Tracks 17-18,,Guthrie Govan,,
"Hamsters, The",Route 666,,1995,October,Rock,,,,,Track 12,,,,
Handel,Fireworks Music,,1999,January,Acoustic,Complete track,,Hard,,Tracks 15-16,,Eric Roche,,
Handel,Queen Of Sheba,204,2012,May,Classical Shred,Complete track,B♭ major,Moderate/Advance,110 bmp,Tracks 16-18,44-52,,,"Left hand stretches, Alternate picking, Legato"
Hans Neusidler,Tanz Der Waschfrau,52,2000,December,Classical,Complete track,,Easy,,Tracks 15-16,,Richard Stokkereit,,
Harold Arlen,Over The Rainbow,,1999,November,Jazz,Complete track,,Moderate,,Tracks 14-15,,Martin Taylor,,
Harold Faltermeyer & Steve Stevens,Top Gun Anthem,149,2008,March,Rock,Complete track,,Moderate/Advance,,,,Richard Barret,,
Heitor Villa-Lobos,Etu No 1,138,2007,Spring,Classical,Complete track,,Moderate/Advance,,Track 44,,Bridget Mermikides,,
Hoagy Carmichael,Georgia On My Mind,,1999,September,Jazz,Complete track,,Moderate,,Tracks 20-21,,Martin Taylor,,
Hoagy Carmichael,Georgia On My Mind,,1995,January,,,,,,,,,,
Hoagy Carmichael,I Get Along Without You Very Well,44,2000,April,Jazz,Complete track,,Moderate/Hard,,Tracks 14-15,,Martin Taylor,,
Hoagy Carmichael,The Nearness Of You,,1997,September,Jazz,Complete track,,,,Track 5,,Frank Evans,,
Hubert Parry,Jerusalem,246,2015,August,Classical,Complete track,D,Moderate/Advance,53 bpm,Tracks 26-27,46-50,Bridget Mermikides,,
Huey Lewis & The News,The Power Of Love,157,2008,October,Pop,Complete track,,Moderate,,Tracks 10-12,,Jon Bishop,,
Incubus,Warning,,2002,Summer,Rock,Complete track,,Moderate,,Tracks 13-15,,James Humphries,,
Iron Maiden,Losfer Words,,1998,March,Rock,Complete track,,Moderate,,Track 5,,Phil Hilborne,,
Iron Maiden,Phantom Of The Opera,53,2000,Winter,Metal,Riff,,,,,,Phil Hilborne,,
Iron Maiden,Run To The Hills,87,2003,July,Rock,Complete track,,Moderate,,Tracks 4-5,,Dave Kilminster,,
Isaac Albéniz,Asturias-Leyenda,149,2008,March,Classical,Complete track,,Advanced,,Track 12,,Bridget Mermikides,,
Isaac Albéniz,Tango,220,2013,August,Classical,Complete track,D,Advanced,45 bpm,Tracks 39-40,44-49,Bridget Mermikides,,
Isaac Albéniz,"Granada (Op.47, No.1)",233,2014,August,Classical,Complete track,E,Advanced,108 bpm,Track 49,46-53,Bridget Mermikides,,
Isaac Guilory,Surrendel,57,2001,April,Acoustic,Complete track,,Moderate,,Tracks 13-14,,Eric Roche,,
"Isley Brothers, The",(Who's) That Lady,159,2008,December,Rock,Complete track,,Moderate,,Tracks 27-28,,Jon Bishop,,
Jacques Stotzem,Sur Vesdre,71,2002,May,Acoustic Fingerstyle,Complete track,,Moderate,,Tracks 17-18,,Eric Roche,,
James Taylor,Fire & Rain,,1994,December,Rock,,,,,Track 6,,,,
James Taylor,Sweet Baby James,171,2009,November,Acoustic,Complete track,D (G intro),Moderate,134 bpm,Tracks 12-13,,Richard Barret,,
James Taylor,You've Got A Friend,131,2006,October,Acoustic,Complete track,,Moderate,,Tracks 10-11,30-37,Richard Barret,,
James Taylor,You've Got A Friend,,1997,October,Acoustic,Complete track,,,,Track 8,,Eric Roche,,
Jamie Findlay,The Art Of Acquiring Attributes,48,2000,August,Acoustic,Complete track,,Moderate/Hard,,Tracks 9-10,,Eric Roche,,
Jane's Addiction,Just Because,111,2005,May,Rock,Complete track,,Moderate,,Tracks 16-18,,James Humphries,,
Jason Becker,Altitudes,172,2009,December,Shred,Complete track,Bm,Advanced,78 bpm,Tracks 10-11,,James Humphries,,
Jeff Beck,Brush With The Blues,,2002,February,Rock,Complete track,,Advanced,,Tracks 13-15,,Geoff Whitehorn,,
Jeff Beck,Cause We've Ended As Lovers,,2002,November,Rock,Complete track,,Moderate/Advance,,Tracks 7-8,,,,
Jeff Beck,Cause We've Ended As Lovers,,1996,March,,,,,,Tracks 8-9,,,,
Jeff Beck,Going Down,,1999,Spring,Blues,Complete track,,Moderate,,Tracks 14-16,,Geoff Whitehorn,,
Jeff Beck,Goodbye Pork Pie Hat,93,2003,Winter,Jazz-Blues,Complete track,,Moderate/Advance,,Tracks 10-12,,Guthrie Govan,,
Jeff Beck,Let Me Love Tou,73,2002,July,Blues-Rock,Complete track,,Moderate,,Tracks 7-10,,Geoff Whitehorn,,
Jeff Beck,Nadia,103,2004,October,Rock,Complete track,,Moderate/Hard,,Tracks 10-12,,Dave Kilminster,,
Jeff Beck,Rock My Plimsoul,,1997,December,Blues,Complete track,,,,Track 2,,Geoff Whitehorn,,
Jeff Beck,Superstition,,1997,January,,,,,,,,,,
Jeff Beck,The Pump,60,2001,July,Rock,Complete track,,Hard,,Tracks 2-4,,Phil Hilborne,,
Jeff Beck,Over The Rainbow,225,2014,January,Rock,Complete track,F and D,Advanced,Freetime,Tracks 5-6,26-30,Jon Bishop,,
"Jeff Beck, Carlton, Lukather",The Pump,151,2008,Spring,Jazz-Rock,Complete track,,Moderate/Advance,,Tracks 5-6,,Guthrie Govan,,
Jeff Buckley,Hallelujah,120,2006,January,Rock,Complete track,,Moderate/Difficult,,Tracks 4-5,,Dave Kilminster,,
Jeff Healey,Stuck In The Middle With You,,1995,October,Rock,,,,,Track 4,,,,
Jeff Healey,While My Guitar Gently Weeps,85,2003,May,Blues-Rock,Complete track,,Moderate/Advance,,Tracks 17-19,,Guthrie Govan,,
Jerome Kern,All The Things You Are,,1997,August,Jazz,Complete track,,,,Track 8,,Frank Evans,,
Jerome Kern,Yesterdays,,1997,June,Jazz,Complete track,,,,Track 5,,Frank Evans,,
Jerry Reed,The Beak,,1997,January,Country,Complete track,,,,Track 11,,Andy Saphir,,
Jerry Reed,The Claw,,1997,January,Country,Complete track,,,,Track 11,,Andy Saphir,,
