Band/ Group Name/ Performer,Song Name,Guitar Techniques #,Year,Month,Style,Type,Key,Ability Rating,Tempo,CD,Pages,GT Tutor,Comment,Will Improve Your
Bon Jovi,This Ain't a Love Song,,1995,September,,,,,,,,,,
Bon Jovi,Wanted Dead Or Alive,124,2006,Spring,Rock,Complete track,,Moderate/Advance,,Tracks 10-13,40-48,John Wheatcroft,,
Booker T And The MG's,Green Onions,,1999,February,R'n'B,Complete track,,Easy,,Tracks 9-12,,James Humphries,,
Boston,More Than A Feeling,170,2009,October,Rock,Complete track,D,Moderate,108 bpm,Tracks 7-8,,Richard Stokkereit,,
Boston,More Than A Feeling,,1999,March,Rock,Riff,,Moderate,,Tracks 5-6,,Phil Hilborne,Verse,
Braid Paisley,Me Neither,155,2008,August,Country,Complete track,,Advanced,,Tracks 7-8,,Dario Cortese,,
Braid Paisley,Munster Rag,122,2006,March,Country,Complete track,,Difficult,,Tracks 12-14,44-50,Lee Hodgson,,
Brian Setzer,Jingle Bells,,1999,Xmas,Rock & Roll,Complete track,,Moderate/Hard,,Tracks 10-12,,Lee Hodgson,,
Brian Setzer,Rock This Town,71,2002,May,Rock & Roll,Complete track,,Moderate,,Tracks 11-13,,Lee Hodgson,,
Brian Setzer,Rock This Town,228,2014,April,Rock & Roll,Complete track,D,Moderate/Advance,200 bpm,Tracks 36-37,38-45,Jacob Quistgaard,,
Brian Setzer - Joe Satriani - Larry Carlton,Sleepwalk,89,2003,September,Pop/jazz,Complete track,,Easy/Moderate,,Tracks 4-6,,Guthrie Govan,,
Bryan Adams,Everything I Do,51,2000,November,Rock,Complete track,,Easy/Moderate,,Tracks 9-10,,Eric Roche,,
Bryan Adams,Have You Ever Really Loved A Woman?,,1995,July,,,,,,,,,,
Buddy Guy,Damn Right I've Got The Blues,143,2007,September,Blues,Complete track,,Moderate/Advance,,Tracks 40-41,,Richard Barret,,
Buddy Guy,Five Long Years,71,2002,May,Rock,Complete track,,Moderate,,Tracks 8-10,,Geoff Whitehorn,,
Buddy Holly,Brown Eyed Handsome Man,189,2011,April,Rock & Roll,Complete track,E,Moderate,190 bpm,Tracks 6-7,,Jim Clark,,
Buddy Holly,Peggy Sue,,1999,June,Pop,Complete track,,Easy,,Tracks 2-5,,James Humphries,,
Buddy Holly,That'll Be The Day,148,2008,February,Rock & Roll,Complete track,,Easy,,Tracks 6-8,,Jon Bishop,,
Bumblefoot,Mafalda,,2002,Summer,Rock,Complete track,,Advanced,,Tracks 16-18,,Guthrie Govan,,
Burwell And Parish,Sweet Lorraine,,1995,May,,,,,,,,,,
Carl Verheyen,Garage Sale,,1995,July,Rock,,,,,Track 7,,,,
"Carpenters, The",Please Mr Postman,,1997,August,,Solo,,,,Track 18,,Lee Hodgson,,
"Cars, The",My Best Friend's Girl,,1997,February,Rock,Complete track,,,,Track 12,,Dave Kilminster,,
Chet Atkins,Over The Rainbow,64,2001,October,Acoustic,Complete track,,Moderate/Hard,,Tracks 26-27,,Eric Roche,,
