Tune Title,Vol #,Vehicle Type,Key,Tempo,# of choruses,CD Track #
The Sheik Of Araby,100,Dixieland,Bb,238,8,5
Tiger Rag,100,Dixieland,Bb,260,12,13
Way Down Yonder In New Orleans,100,Dixieland,F,138,6,6
When The Saints Go Marching In,100,Dixieland,F,254,14,1
Gone Forever,101,Ballad,F,70,4,11
Shania,101,Ballad,Eb,110,3,8
There's No There There,101,Ballad,D-,215,9,12
Anticipointment,101,Latin,Eb,160,5,3
Process Of Illumination,101,Latin,D-,120,7,9
Secret Of The Andes,101,Latin,Db,120,8,7
Bilbao,101,Swing,G-,160,6,2
Good Luck With Your Music,101,Swing,F,140,6,1
Portrait Of Dorian Mode,101,Swing,Eb,200,6,5
Subject To Change,101,Swing,A-,245,10,4
Walking On The Moon,101,Swing,C-,185,20,10
A Loan To Gather,101,Waltz,C-,138,7,6
You Can Tell,102,3/4,B,114,6,6
Invisible Light,102,Ballad,Eb,50,3,11
Red's Blues,102,Blues,Bb,150,12,5
Con Brio,102,Latin,Bb,250,14,7
Wind Print,102,Latin,G,160,6,4
Different Places Together,102,Latin/Bossa,Bb,138,5,3
I Ching Reading,102,Swing,E,192,6,14
Inside Out,102,Swing,Eb,178,7,8
Optimum Propensity,102,Swing,Ab,130,6,1
Out House,102,Swing,Bb,260,9,2
Simultaneous Looks,102,Swing,C-,208,10,10
Sound Advice,102,Swing,Db,144,5,12
The Ray,102,Swing,Gb,240,6,13
Wiggy,102,Swing,C#-,124,6,9
As We Speak,103,Fusion,A-,120,4,9
Chicago Song,103,Fusion,C-,72,4,5
Corners For Herbie,103,Fusion,E-,114,5,8
Full House,103,Fusion,F,110,4,7
Hideaway,103,Fusion,Eb-,100,4,10
Imogene,103,Fusion,G-,80,2,4
Lisa,103,Fusion,E,100,4,2
Run For Cover,103,Fusion,E-,100,4,1
Snakes,103,Fusion,G-,120,4,3
Straight To The Heart,103,Fusion,Eb,72,9,6
Unisphere,105,5/4 Swing,Eb,183,5,6
All My Love,105,Ballad,A-,48,2,8
Here Comes McBride,105,Blues,C-,152,16,10
Travelin' Blues,105,Blues,F,69,6,4
Broadway Bossa Nova,105,Latin,G,196,7,5
In Your Own Sweet Way,105,Swing,A-,104,5,2
Take 5,105,Swing,Eb,188,-,1
The Basie Band Is Back In Town,105,Swing,F,138,5,7
The Duke,105,Swing,C,124,5,3
Why Not,105,Swing,F,194,7,12
Three To Get Ready,105,Waltz,C,156,14,9
Waltzing,105,Waltz,G-,196,6,11
Our Man Higgins,106,Blues,Bb,240,14,14
The Double Up,106,Blues,F,116,15,1
Ceora,106,Bossa,Ab,126,6,3
Sidewinder,106,Bossa Blues,Eb,160,9,2
Mr. Kenyatta,106,Latin,G-,216,7,7
Totem Pole,106,Latin,Eb-,138,5,6
Party Time,106,Swing,Ab-,112,14,8
Something Cute,106,Swing,G-,238,9,4
Speedball,106,Swing,Db,184,10,12
Stopstart,106,Swing,G-,240,9,13
Zambia,106,Swing,C,236,12,11
Kozo's Waltz,106,Waltz,Bb,176,13,5
Morgan The Pirate,106,Waltz,Eb,168,6,10
The Gigolo,106,Waltz,Eb-,152,4,9
Body And Soul,107,Ballad,Bb,63,2,"D2,2"
Fools Rush In,107,Ballad,G,92,2,"D2,10"
I Cover The Waterfront,107,Ballad,Eb,69,2,"D1,6"
It Had To Be You,107,Ballad,Eb,126,4,"D1,1"
Misty,107,Ballad,C,63,2,"D1,2"
My Funny Valentine,107,Ballad,Am/C,63,2,"D1,12"
Skylark,107,Ballad,C,69,2,"D2,4"
Stardust,107,Ballad,Ab,80,3,"D1,8"
Stars Fell On Alabama,107,Ballad,Ab,88,2,"D1,4"
That's All,107,Ballad,Ab,80,2,"D1,10"
What's New?,107,Ballad,G,63,2,"D2,8"
You Go To My Head,107,Ballad,C,72,2,"D2,6"
Love For Sale,107,Latin/Swing,F-,208,4,"D2,12"
A Foggy Day,107,Swing,C,168,4,"D2,11"
Alone Together,107,Swing,A-,126,4,"D2,3"
But Not For Me,107,Swing,Bb,168,4,"D1,9"
Bye Bye Blackbird,107,Swing,C,200,5,"D2,5"
Days Of Wine And Roses,107,Swing,C,126,3,"D1,7"
East Of The Sun,107,Swing,Eb,138,3,"D2,7"
I Thought About You,107,Swing,C,120,4,"D2,1"
September In The Rain,107,Swing,C,126,4,"D1,5"
Summertime,107,Swing,D-,132,7,"D1,11"
Time After Time,107,Swing,Ab,138,4,"D1,3"
What Is This Thing Called Love,107,Swing,G,152,4,"D2,9"
Granted,108,Blues,C-,212,20,13
Homestretch,108,Blues,Bb,230,21,15
Isotope,108,Blues,C,182,17,7
Mamacita,108,Blues,F,172,11,9
Step Lightly,108,Blues,C,112,8,1
Recorda Me,108,Latin,A-,172,13,2
A Shade Of Jade,108,Swing,C-,236,6,6
Inner Urge,108,Swing,G,208,10,3
Jinriksha,108,Swing,Db,180,6,12
Mo' Joe,108,Swing,F-,200,15,14
Out Of The Night,108,Swing,F-,120,10,4
Punjab,108,Swing,D,158,10,11
Serenity,108,Swing,Eb,160,12,8
The Kicker,108,Swing,Bb,220,18,10
Black Narcissus,108,Waltz,Ab-,130,8,5
The Spirit Soars,109,3/4 Bossa Nova,F,120,7,5
Breather,109,3/4 Samba,Bb,96,4,9
Pentatonic,109,Agitated Rock,Ab,132,5,12
Rising Star,109,Ballad,C,60,3,7
The Essence,109,Funk,Eb,92,4,8
I've Got It,109,Hip-Hop,Bb,192,7,10
The Slither,109,Hip-Hop,F,144,7,4
Back On The Track,109,Latin-Funk,D-,176,3,6
Crib Chimp,109,Latin-Funk,F,124,5,3
Samba de Luvsme,109,Samba,E-,272,8,2
The Cat From Caracas,109,Samba,Eb,200,4,1
It Takes Two,109,Tango,E,76,4,11
Body And Soul,110,Ballad,Db,64,3,1
Dancing In The Dark,110,Ballad,C,94,4,8
Embraceable You,110,Ballad,G,74,3,12
I Can't Get Started,110,Ballad,C,74,3,3
I Could Write A Book,110,Ballad,Eb,112,5,4
I Didn't Know What Time It Was,110,Ballad,G,78,2,7
I Only Have Eyes For You,110,Ballad,C,90,3,6
I Thought About You,110,Ballad,Eb,60,4,9
Love Is Here To Stay,110,Ballad,F,90,4,5
Someone To Watch Over Me,110,Ballad,Eb,76,2,10
When I Fall In Love,110,Ballad,Eb,100,4,2
Where Or When,110,Ballad,Eb,88,3,11
Mohawk,111,6/4 Swing,F,160,13,5
Lament,111,Ballad,F,108,4,2
Fatback,111,Blues,F,112,10,15
Lament,111,Bossa,F,56,2,3
Boneology,111,Swing,Db,138,6,1
Coffee Pot,111,Swing,F,240,9,13
Flat Black,111,Swing,C,232,9,8
In Walked Horace,111,Swing,Bb,192,6,4
Interlude,111,Swing,C,250,5,6
Kenya,111,Swing,Bb,120,5,7
Shutterbug,111,Swing,G-,224,14,11
Shutterbug,111,Swing,G-,252,13,12
Ten-85,111,Swing,C-,252,10,10
Turnpike,111,Swing,Bb,276,10,14
May I Have Dis (This) Dance,111,Waltz,F,152,8,9
All Of You,112,Standard,Eb,144,7,3
Don't Fence Me In,112,Standard,F,120,5,7
Dream Dancing,112,Standard,C,132,5,7
Easy To Love,112,Standard,G,160,5,9
Easy To Love,112,Standard,G,264,10,10
Ev'rything I Love,112,Standard,Eb,200,8,3
From This Moment On,112,Standard,Db,240,4,11
Get Out Of Town,112,Standard,Bb,116,4,8
I Concentrate On You,112,Standard,Eb,144,4,1
I Get A Kick Out Of You,112,Standard,Eb,168,4,4
I Love You,112,Standard,F,144,7,2
In The Still Of The Night,112,Standard,F,252,5,10
It's All Right With Me,112,Standard,Eb,264,5,11
I've Got You Under My Skin,112,Standard,Eb,144,4,6
Just One Of Those Things,112,Standard,F,240,5,9
Love For Sale,112,Standard,Bb,176,4,5
Night and Day,112,Standard,Eb,120,5,4
You Do Something To Me,112,Standard,Eb,138,4,8
You'd Be So Nice To Come Home To,112,Standard,C,126,6,5
At Long Last Love,112,Swing,Ab,120,6,6
So In Love,112,Swing,Ab,132,3,1
What Is This Thing Called Love,112,Swing,C,184,9,2
Body And Soul,113,Ballad,A,64,2,1
Body And Soul,113,Ballad,C,64,2,1
Embraceable You,113,Ballad,Db,74,2,5
Embraceable You,113,Ballad,F,74,2,5
I Can't Get Started,113,Ballad,Bb,74,2,3
I Can't Get Started,113,Ballad,G,74,2,3
I Didn't Know What Time It Was,113,Ballad,D,120,3,16
When I Fall In Love,113,Ballad,C,86,2,2
When I Fall In Love,113,Ballad,Eb,86,2,2
Dancing In The Dark,113,Ballad Swing,C,130,4,17
Dancing In The Dark,113,Ballad Swing,Eb,94,2,9
I Didn't Know What Time It Was,113,Ballad Swing,F,78,2,8
I Thought About You,113,Ballad Swing,Bb,108,4,18
I Thought About You,113,Ballad Swing,C,60,2,10
Love Is Here To Stay,113,Ballad Swing,C,90,2,6
Love Is Here To Stay,113,Ballad Swing,Eb,132,4,14
Where Or When,113,Ballad Swing,C,126,3,19
Where Or When,113,Ballad Swing,Eb,88,2,12
Someone To Watch Over Me,113,Balled,Ab,76,2,11
Someone To Watch Over Me,113,Balled,C,76,2,11
I Could Write A Book,113,Fast Swing,Bb,144,4,13
I Could Write A Book,113,Slow Swing,Ab,112,2,4
I Only Have Eyes For You,113,Swing,A,90,2,7
I Only Have Eyes For You,113,Swing,G,120,3,15
A Blessing In Disguise,114,Ballad,Db,69,2,7
Relaxin',114,Blues,F,112,10,1
Mr. Alex,114,Bossa,C,104,7,4
Peaceful Ideas,114,Bossa,C-,104,2,5
Soulful Times,114,Jazz Waltz,F,104,3,3
I Remember Grant,114,Second Line Boogaloo,G,144,6,8
A Little Stop-Time,114,Swing,Bb,184,6,6
Runnin' & Gunnin',114,Swing,Bb,152,6,2
Little Waltz,115,3/4 Waltz,Ab,94,2,7
Quiet Times,115,Ballad,G,64,2,11
For Toddlers Only,115,Bebop,Bb,252,9,6
Blues For D.P.,115,Blues,G,116,12,1
Eighty-One,115,Blues,C-,126,12,4
Nearly,115,Blues,G,90,7,10
Bomdia,115,Latin,D-,118,4,2
Third Plane,115,Latin/Swing,Bb,156,9,13
Eight,115,Modal,D-,268,9,3
Mr.Bow Tie,115,Samba,C-,108,4,8
First Trip,115,Swing,F,204,7,5
Loose Change,115,Swing,C,130,5,9
R.J.,115,Fast Swing,Eb,280,12,12
All Of You,117,Standard,Bb,144,4,14
All Of You,117,Standard,Eb,144,4,14
At Long Last Love,117,Standard,Bb,138,4,13
At Long Last Love,117,Standard,G,138,4,13
At Long Last Love,117,Standard,,138,4,13
Easy To Love,117,Standard,Eb,168,5,12
Easy To Love,117,Standard,G,168,5,12
From This Moment On,117,Standard,C-,240,3,11
From This Moment On,117,Standard,D-,240,3,11
Get Out Of Town,117,Standard,Eb,184,4,10
Get Out Of Town,117,Standard,G,184,4,10
I Concentrate On You,117,Standard,C,154,3,9
I Concentrate On You,117,Standard,D,154,3,9
I Love You,117,Standard,C,160,5,8
I Love You,117,Standard,Eb,160,5,8
In The Still Of The Night,117,Standard,C,144,2,7
In The Still Of The Night,117,Standard,Eb,144,2,7
I've Got You Under My Skin,117,Standard,Bb,132,2,2
I've Got You Under My Skin,117,Standard,Db,132,2,2
Just One Of Those Things,117,Standard,C,126,3,6
Just One Of Those Things,117,Standard,Eb,126,3,6
Love For Sale,117,Standard,Db,176,4,5
Night and Day,117,Standard,C,160,4,4
Night and Day,117,Standard,D,160,4,4
What Is This Thing Called Love,117,Standard,Bb,184,4,3
What Is This Thing Called Love,117,Standard,G,184,4,3
You'd Be So Nice To Come Home To,117,Standard,E-,152,4,1
You'd Be So Nice To Come Home To,117,Standard,G-,152,4,1
I Can't Get Started,118,Ballad,C,76,3,4
Round Midnight,118,Ballad,Eb-,104,4,6
How High The Moon,118,Bebop,G,232,9,11
Big Easy,118,Blues,Ab,160,15,1
You're Lookin' Good,118,Blues,Bb,166,15,7
East Of The Sun,118,Bossa,A-,144,5,8
Laura,118,Bossa,G-,160,6,5
Falling In Love With Love,118,Standard,Bb,170,8,3
I'm Getting Sentimental Over You,118,Standard,F,150,5,10
Love For Sale,118,Standard,Eb,240,5,12
On Green Dolphin Street,118,Standard,Eb,126,8,2
"Softly, As In A Morning Sunrise",118,Standard,C-,300,10,13
Time Out,118,Rhythm,Bb,264,10,9
Country Corn Flakes,119,Fast Swing,F,224,4,1
Karita,119,Latin,Eb,180,5,2
Lemoncello,119,Funky Swing,C-,184,5,3
Love Remains,119,Ballad,G-,80,2,4
Blues For Alto,119,Blues,Ab,176,16,5
In Case You Missed It,119,Fast Swing,Eb,200,5,6
Beatitudes,119,Latin,Bb,150,4,7
ETA,119,Uptempo Swing,A-,276,7,8
Jewel,119,Ballad,A-,58,8,9
A Wheel Within A Wheel,119,Waltz,D-,196,5,10
Always A Friend,119,Slow Bossa,Eb,76,3,11
Faith In Action,119,Waltz,C,224,7,12
Bb Boogaloo,120,Blues,Bb,126,13,1
Work Song,120,Standard,F,160,11,2
My Slow Blues,120,Slow Blues,F,88,8,3
McDuff's Groove,120,Blues (Shuffle),G,138,12,4
Down Home Boogaloo,120,Blues,Ab,126,12,5
Bossa Blues,120,Blues (Bossa),Bb,116,11,6
Killer Joe,120,Standard,C,126,5,7
Miss C's Shuffle,120,Blues,F,138,13,8
Happy Alice,120,Latin Blues,Eb,160,12,9
"Blues, Blues, Blues",120,Blues,Bb,116,9,10
Modal Blues,120,Blues (24-bar),Bb,232,10,11
Jimmy Smith Shuffle,120,Blues,F,104,12,12
Dirty Blues,120,Blues,Bb,63,6,13
The Search,120,Latin/Swing,C,224,7,14
Drifting,121,Bossa Nova,F,140,4,1
Eddie's Blues,121,Blues (Medium),C,110,10,2
House of Chan,121,Latin/Swing,F,160,5,3
Johnny Hodges,121,Bebop (Medium Fast),G,152,6,4
Lady J,121,Latin,C,120,2,5
The Stanley Stomper,121,Blues,Eb,144,10,6
The Squire's Parlor,121,Swing (Medium),F,200,7,7
Samba Dubois,121,Latin,C,176,5,8
Waltz For A Lovely Wife,121,Waltz,C,140,10,9
Without You,121,Bossa Nova,A-,104,3,10
Sugan,121,Swing,F-,212,8,11
Lew Blew,121,Blues,F,216,14,12
Cool Aid,121,Swing (Medium-Up),Ab,208,6,13
Dutch Morning,121,Waltz (Medium),B-,92,3,14
Gemini,122,Waltz,Eb,194,14,1
Gingerbread Boy,122,Blues,Bb,214,20,2
You Or Me,122,Standard,Eb,186,7,3
Mona's Mood,122,Ballad,Eb,64,2,4
Forever Sonny,122,Samba (Straight 8),Bb,164,5,5
One For Juan,122,Bossa Nova,B-,162,6,6
A Sound For Sore Ears,122,Latin,Ab,178,6,7
New Picture,122,Waltz,Bb,172,6,8
The Voice Of The Saxophone,122,Ballad,C,60,2,9
C.T.A.,122,Swing (Fast),Bb,228,7,10
Sources Say,122,Swing,Ab,188,8,11
Basic Birks,122,Swing,Db,202,6,12
Bopag'in,122,Swing,Eb,240,8,13
Without You - No Me,122,Latin/Swing,Ab,186,6,14
Now's The Time,123,Blues,F,120,14,1
Four On Six,123,Swing,Bb,224,15,2
The More I See You,123,Standard,Eb,100,5,3
Love For Sale,117,Standard,Bb,176,4,5
"Mercy, Mercy, Mercy",123,Funk (Light),Bb,85,,4
Lunch Portion,123,Blues (Shuffle),G,130,11,5
I Fall In Love Too Easily,123,Ballad,Eb,54,4,6
Bye Bye Blackbird,123,Standard,F,150,6,7
"Gee Baby, Ain't I Good To You",123,Ballad,Eb,66,5,8
Indiana,123,Swing,F,132,5,9
February 14th,123,Blues (Shuffle),G,124,4,10
Anthropology,123,Swing,Bb,194,7,11
Summertime,123,Standard,C-,108,8,12
I'm Getting Sentimental Over You,123,Swing,F,144,5,13
Slow Blues,123,Blues,Bb,60,5,14
Obama-Nation,123,Swing,F,124,5,15
Same Beat,124,Bossa Nova,F,80,4,1
Valley,124,Baião,A,112,4,2
Railroad,124,Afoxé,Db,112,3,3
Part Tee,124,Partido-Alto,Ab,120,8,4
Invitation Note,124,Bossa Nova,Eb,120,4,5
Byown,124,Baião,F-,92,5,6
Afosheriff,124,Afoxé,A,124,3,7
Here We Are!,124,Bossa Nova (Fast),F-,128,5,8
Twice,124,Bossa Nova,F,132,2,9
Korg In,124,Baião,F,112,9,10
Away In A Manger,125,Swing Waltz,F,116,5,1
Deck The Hall,125,Swing,F,108,4,2
Greensleeves,125,Swing Waltz,E-,130,4,3
"God Rest ye Merry, Gentlemen",125,Swing,C-,114,4,4
"Go, Tell It On The Mountain",125,Swing,F,112,4,5
Hark! The Herald Angels Sing,125,Bossa Nova,F,100,3,6
It Came Upon The Midnight Clear,125,Swing Waltz,Bb,116,5,7
Jingle Bells,125,Swing,G,176,4,8
Joy To The World,125,Bossa Nova,C,106,4,9
"O Come, All Ye Faithful",125,Swing,Eb,96,3,10
O Little Town Of Bethlehem,125,Bossa Nova,F,100,4,11
Silent Night,125,Swing Waltz,C,94,4,12
The First Noel,125,Swing Waltz,Eb,110,6,13
Up On The Housetop,125,Swing,F,180,3,14
We Three Kings,125,Swing Waltz,D,136,3,15
We Wish You A Merry Christmas,125,Swing Waltz,G,138,3,16
Auld Lang Syne,125,Swing,F,96,4,17
There's A Mingus Amonk Us,126,Bebop,Db,178,10,1
Shanghigh,126,Latin,C,148,10,2
Some Skunk Funk,126,Rock,Bb,140,8,3
Marble Sea,126,Bossa,Eb,140,4,4
Thrifty Man,126,Swing,Bb,116,4,5
Incidentally,126,Ballad,B,52,-,6
Free Fall,126,Uptempo   ,F,120,4,7
Hit Or Miss,126,Swing,C,186,4,8
The Sleaze Factor,126,Samba,F,136,3,9
You're In My Heart,126,Waltz,C,168,4,10
Moontide,126,Latin,D,136,3,11
Dirty Dogs,126,Blues,Bb,154,12,12
Tokyo Freddie,126,Uptempo,C,122,5,13
Boogie Woogie Bossa Nova,127,Bossa,Ab,125,7,1
Chicago Serenade,127,Swing,C,116,5,2
The Crying Blues,127,Blues,F,180,14,3
Antidote,127,Swing,G,168,7,4
Summer's On Its Way,127,Bossa,C-,114,4,5
Listen Here,127,Latin Funk,Bb,136,-,6
Recess,127,Swing,C,125,9,7
Sham Time,127,Funk,F,164,-,8
The Things You Do,127,Ballad,Ab,64,2,9
Freedom Jazz Dance,127,Swing,Bb,182,13,10
Hey Wado,127,Blues,Bb,170,19,11
Renovated Rhythm,127,Swing,Bb,250,6,12
1974 Blues,127,Blues,D7,126,5,13
Sweet Georgia Brown,128,Standard,G,219,8,1
Rose Room,128,Standard,F,219,8,2
Bei Mir Bist Du Schon,128,Standard,A-,185,7,3
Swing 42,128,Swing,C,212,8,4
Django's Cloud,128,Standard,C,107,4,5
After You've Gone,128,Standard,G,250,8,6
Limehouse Blues,128,Standard,G,267,10,7
Body And Soul,128,Ballad,Db,77,2,8
The Sheik Of Araby,128,Standard,Bb,254,9,9
Minor Swing,128,Swing,A-,207,14,10
Montagne Sainte Genevieve,128,Standard,E-,190,2,11
Swing Guitars,128,Swing,C,214,8,12
The World is Waiting for the Sunrise,128,Standard,C,280,10,13
Frosty The Snow Man,129,Standard,C,120,4,1
Here Comes Santa Claus,129,Standard,Eb,192,5,2
Up On The Housetop,129,Standard,Eb,126,7,3
Jingle Bell Rock,129,Standard,C,144,4,4
Over The River And Through The Woods,129,Traditional,C,166,7,5
Angels We Have Heard On High,129,Standard,Eb,120,6,6
All I Want For Christmas Is My Two Front Teeth,129,Standard,C,130,5,7
There's A Song In The Air,129,Standard,F,126,5,8
We Wish You A Merry Christmas,129,Standard,F,132,4,9
Home For The Holidays,129,Standard,C,192,5,10
Jingle Bells,129,Standard,F,200,6,11
Angels From The Realms Of Glory,129,Standard,C,120,4,12
Snowfall,129,Standard,Db,60,2,13
Jolly Old St. Nick,129,Standard,Bb,130,9,14
Jolly Old St. Nick,129,Shuffle,Bb,130,7,15
Pennies From Heaven,130,Standard,C,114,4,"D1,1"
Please Don't Talk About Me When I'm Gone,130,Standard,Eb,124,4,"D1,2"
Somebody Loves Me,130,Standard,G,136,4,"D1,3"
Time On My Hands,130,Standard,F,92,3,"D1,4"
Walkin' My Baby Back Home,130,Standard,C,120,4,"D1,5"
Sometimes I'm Happy,130,Standard,F,180,6,"D1,6"
My Buddy,130,Standard,G,110,4,"D1,7"
My Blue Heaven,130,Standard,Eb,144,5,"D1,8"
Jeepers Creepers,130,Standard,C-,196,6,"D1,9"
Is It True What They Say About Dixie?,130,Standard,G,200,6,"D1,10"
Day In-Day Out,130,Standard,C,208,4,"D2,1"
Ain't She Sweet,130,Standard,Eb,140,4,"D2,2"
Blueberry Hill,130,Standard,C,104,4,"D2,3"
Blueberry Hill (Jazz),130,Standard,C,110,4,"D2,10"
How Little We Know,130,Standard,F,130,4,"D2,4"
April Showers,130,Standard,G,126,4,"D2,5"
Honeysuckle Rose,130,Standard,F,154,6,"D2,6"
Ain't Misbehavin',130,Standard,Eb,110,4,"D2,7"
Begin The Beguine,130,Standard,C,128,2,"D2,8"
A String Of Pearls,130,Standard,Eb,150,5,"D2,9"
It's Only A Paper Moon,131,Standard,G,140,5,1
Stormy Weather,131,Standard,G,72,3,2
The Lady Is A Tramp,131,Standard,C,186,5,3
Hold My Hand,131,Standard,F,58,2,4
Don't Worry About Me,131,Standard,Ab,64,2,5
The Glow Worm,131,Standard,C,120,9,6
Cry Me A River,131,Standard,Eb,60,2,7
Bidin' My Time,131,Standard,Eb,160,7,8
Almost Like Being In Love,131,Standard,Eb,170,6,9
It's You Or No One,131,Standard,F,168,5,10
More Than You Know,131,Standard,C,78,2,11
Dedicated To You,131,Standard,Bb,57,2,12
Dancing On The Ceiling,131,Standard,F,132,4,13
It Never Entered My Mind,131,Standard,F,70,2,14
Lazy Afternoon,131,Standard,A-,60,2,15
Almost Like Being In Love,131,Bossa,Eb,178,4,16
On The Street Where You Live,132,Standard,Bb,142,3,1
I'm Looking Over A Four Leaf Clover,132,Standard,C,178,5,2
Goody Goody,132,Standard,C,180,4,3
You're The Cream In My Coffee,132,Standard,Eb,152,4,4
Alabamy Bound,132,Standard,Bb,300,7,5
"Music, Music, Music (Put Another Nickel In)",132,Standard,F,178,5,6
"Music, Music, Music (Put Another Nickel In) (Modern Jazz Harmony Version)",132,Standard,F,130,4,7
"Music, Music, Music (Put Another Nickel In) (Modern Jazz Version w/Brushes)",132,Standard,F,130,4,8
I'll See You In My Dreams,132,Standard,F,156,4,9
Coquette,132,Standard,C,154,4,10
Goofus,132,Standard,F,176,5,11
"Toot, Toot, Tootsie",132,Standard,Eb,174,3,12
"Yes Sir, That's My Baby",132,Standard,Eb,130,4,13
Josephine,132,Standard,F,126,4,14
In A Shanty In Old Shanty Town (4/4),132,Standard,F,164,4,15
In A Shanty In Old Shanty Town (3/4),132,Standard,F,118,4,16
I Found A Million Dollar Baby,132,Standard,F,130,4,17
Down By The Riverside,133,Dixieland,F,220,6,1
Wabash Blues,133,Dixieland,Eb,106,3,4
Who's Sorry Now?,133,Dixieland,Bb,188,5,13
Washington and Lee Swing,133,Dixieland,Bb,280,7,10
Ja-Da,133,Dixieland,F,174,8,5
Avalon,133,Dixieland,F,250,7,6
Smiles,133,Dixieland,Ab,160,5,2
Jazz Me Blues,133,Dixieland,Eb,216,7,3
Some Of These Days,133,Dixieland,F,212,6,8
China Boy,133,Dixieland,F,248,7,14
Just A Closer Walk With Thee,133,Dixieland,Bb,66,4,7
A Good Man Is Hard To Find,133,Dixieland,C,112,4,9
When The Saints Go Marching In,133,Dixieland,F,254,12,12
"Toot, Toot, Tootsie",133,Dixieland,C,240,5,15
Ballin' The Jack,133,Dixieland,Bb,128,5,11
