Tune Title,Vol #,Vehicle Type,Key,Tempo,# of choruses,CD Track #
Come Rain Or Shine,25,Standard,F,154,6,"D2,4"
Have You Met Miss Jones?,25,Standard,F,208,9,"D1,2"
I Could Write A Book,25,Standard,Eb,212,7,"D2,8"
I Love You,25,Standard,F,236,9,"D1,4"
Love Is Here To Stay,25,Standard,F,196,7,"D2,9"
My Favorite Things,25,Standard,E-,224,5,"D1,9"
Old Devil Moon,25,Standard,F,230,6,"D2,7"
September Song,25,Standard,C,130,6,"D1,5"
Speak Low,25,Standard,F,240,5,"D2,5"
Summertime,25,Standard,D-,128,10,"D2,2"
The Party's Over,25,Standard,Eb,70,2,"D2,3"
Crescent,27,Ballad,C-,109,7,8
Naima,27,Ballad,Ab,55,4,4
Like Sonny,27,Bebop,Eb,155,8,5
Blues Minor,27,Blues,F-,245,12,7
Mr. P.C.,27,Blues,C-,260,29,2
Some Other Blues,27,Blues,F,174,18,3
Spiritual,27,Modal,C-,97,-,6
The Promise,27,Modal,G-,164,5,9
Dear Lord,28,Ballad,D,97,2,8
26-2 (Confirmation),28,Bebop,F,210,7,6
Confirmation**,28,Bebop,F,210,7,6
Countdown,28,Bebop,D,255,11,11
Giant Steps (Fast),28,Bebop,B,308,19,5
Giant Steps (Slow),28,Bebop,B,224,14,4
Mr. Day,28,Blues,F#,244,23,10
Up Against The Wall,28,Blues,Ab,150,12,7
A Love Supreme,28,Modal,F-,114,-,9
Impressions (Fast),28,Modal,D-,300,12,3
Impressions (Slow),28,Modal,D-,224,9,2
Together,29,Ballad,F,75,3,4
Action,29,Bebop,D,208,6,8
Invention,29,Bebop,Eb,232,8,2
Jonathan's Waltz,29,Bebop,A,75,5,5
Samba Teekens,29,Bebop,F,246,7,6
Suspended Motion,29,Bebop,D,170,6,3
Blues Allegro,29,Blues,F,125,6,11
Blues Andante,29,Blues,F,70,6,9
Fugato,29,Contemp.,C-,115,4,10
The Flag Is Up,29,Contemp.,F,120,7,7
Reflection,30A&B,Ballad,F,60,2,8
Bye Bye Boston,30A&B,Bebop,C-,176,6,3
Lady's Bounce,30A&B,Bebop,Bb,112,9,6
Tippin' Time,30A&B,Blues,Bb,108,11,2
Bossa For Cheryl,30A&B,Bossa,Eb,120,5,4
Fast Mode Al,30A&B,Modal,Eb-,240,7,5
Samba De Luvsme,30A&B,Samba,G-,240,6,9
Scott's Waltz,30A&B,Waltz,G,190,8,7
Desafinado,31,Standard,F,186,3,6
How Insensitive,31,Standard,D-,120,4,8
Little Boat,31,Standard,Bb,144,11,9
Meditation,31,Standard,C,146,4,3
Once I Loved,31,Standard,F,184,5,7
One Note Samba,31,Standard,Bb,218,7,11
Quiet Nights Of Quiet Stars,31,Standard,C,138,5,5
Summer Samba (So Nice),31,Standard,F,165,6,10
The Girl From Ipanema,31,Standard,F,146,4,2
Wave,31,Standard,D,144,4,4
Chelsea Bridge,32,Ballad,Db,69,3,7
Lover Man,32,Ballad,F,65,3,2
Lush Life,32,Ballad,Db,66,1+2,5
Skylark,32,Ballad,F,72,3,3
Soul Eyes,32,Ballad,C-,69,3,8
You Don't Know What Love Is,32,Ballad,F-,72,3,6
You've Changed,32,Ballad,Eb,70,3,4
Ballad Blues,32,Blues,Bb,65,6,9
Infant Eyes,33,Ballad,Bb,56,3,"D1,4"
Miyako,33,Ballad,E-,72,5,"D1,7"
Virgo,33,Ballad,F,54,2,"D2,4"
Black Nile,33,Bebop,D-,228,7,"D2,9"
Adam's Apple,33,Blues,Ab,178,7,"D2,2"
Footprints,33,Blues,C-,176,11,"D1,3"
Children Of The Night,33,Contemp.,B,212,5,"D2,3"
E.S.P.,33,Contemp.,F,284,10,"D1,5"
El Gaucho,33,Contemp.,E-,184,11,"D2,11"
Fee-Fi-Fo-Fum,33,Contemp.,G-,112,5,"D1,6"
Juju,33,Contemp.,B,178,10,"D2,5"
Nefertiti,33,Contemp.,Ab,116,8,"D2,8"
Night Dreamer,33,Contemp.,G,128,10,"D2,10"
Speak No Evil,33,Contemp.,C-,134,4,"D1,8"
This Is For Albert,33,Contemp.,G,194,6,"D2,6"
Wild Flower,33,Contemp.,Bb,142,4,"D1,9"
Witch Hunt,33,Contemp.,C-,130,7,"D1,2"
Yes And No,33,Contemp.,D,264,6,"D2,7"
Don't Blame Me,34,Ballad,C,69,2.5,"D1,4"
I Left My Heart In San Francisco,34,Ballad,Bb,144,2.5,"D1,11"
Laura,34,Ballad,C,80,4,"D2,7"
Once In Awhile,34,Ballad,Eb,140,3,"D2,3"
Over The Rainbow,34,Ballad,Eb,126,2,"D1,9"
Spring Is Here,34,Ballad,Ab,60,3,"D2,5"
The Shadow Of Your Smile,34,Ballad,G,132,4,"D1,5"
Blue Moon,34,Standard,Eb,105,5,"D2,9"
Invitation,34,Standard,C-,202,5,"D2,6"
Just Friends,34,Standard,F,196,7,"D1,3"
My Secret Love,34,Standard,Eb,276,7,"D1,6"
On Green Dolphin Street,34,Standard,Eb,203,7,"D1,2"
On The Trail,34,Standard,F,122,9,"D2,8"
Star Eyes,34,Standard,Eb,204,8,"D1,8"
Stompin' At The Savoy,34,Standard,Db,160,7,"D2,4"
There Is No Greater Love,34,Standard,Bb,196,8,"D2,2"
Without A Song,34,Standard,Eb,250,6,"D1,10"
You Stepped Out Of A Dream,34,Standard,C,256,9,"D1,7"
Firm Roots,35,Bebop,Eb,264,7,5
Hand In Glove (Love For Sale),35,Bebop,Bb,232,5,9
Cedar's Blues,35,Blues,Bb,192,20,2
Midnight Waltz,35,Blues,C,180,16,8
Bolivia,35,Contemp.,G,106,8,3
Clockwise,35,Contemp.,E,168,5,4
Fantasy In D,35,Contemp.,D,252,7,7
Ojos De Rojo,35,Contemp.,F-,260,14,6
The Maestro,35,Contemp.,B,164,4,10
Ruby My Dear,36,Ballad,Eb,134,3,4
Theme For Ernie,36,Ballad,Ab,116,2,8
I Mean You,36,Bebop,F,200,8,9
Ladybird,36,Bebop,C,200,22,2
Ray's Idea,36,Bebop,Db,204,8,5
Robbin's Nest,36,Bebop,Db,172,7,7
Freight Trane,36,Blues,Ab,216,25,6
All The Things You Are**,36,Standard,Ab,140,5,3
Hipster,36,Standard,Ab,140,5,3
Lonely Street,37,Ballad,F,58,2,10
Samantha,37,Ballad,C,69,3,8
Basie-Straight Ahead,37,Bebop,F,176,5,5
Switch In Time,37,Bebop,F-,168,15,3
A Warm Breeze,37,Standard,F,120,4,7
Hay Burner,37,Standard,F,112,4,4
The Wind Machine (Fast),37,Standard,Eb,264,5,11
The Wind Machine (Slow),37,Standard,Eb,188,3,6
Ya Gotta Try,37,Standard,C,240,7,9
88 Basie Street,37,Swing,C,118,4,2
Ceora,38,Bebop,Ab,134,5,"D2,2"
Chick's Tune,38,Bebop,C,212,8,"D2,9"
Lazy Bird,38,Bebop,G,178,7,"D2,7"
Moments Notice,38,Bebop,Eb,240,8,"D2,8"
Recorda-Me,38,Bebop,A-,184,14,"D2,10"
Blue Train,38,Blues,Eb,116,12,"D1,2"
Isotope,38,Blues,C,188,23,"D1,9"
Locomotion,38,Blues,Bb,232,8,"D2,3"
One For Daddy-o,38,Blues,Bb-,104,11,"D1,4"
Solar Flair,38,Bossa,C-,208,14,"D2,6"
Crisis,38,Contemp.,B-,172,4,"D1,5"
El Toro,38,Contemp.,D-,208,17,"D1,3"
Inner Urge,38,Contemp.,G,188,11,"D1,8"
Marie Antoinette,38,Contemp.,C-,196,15,"D2,5"
Home At Last,38,Standard,Bb,114,4,"D2,4"
Shirley,38,Standard,A-,112,4,"D1,7"
Down And Up,38,Swing,Bb,197,8,"D1,6"
Blue Room,39,Blues,F,120,5,5
Avalon,39,Standard,F,252,10,8
Bye Bye Blackbird,39,Standard,F,138,5,6
Indian Summer,39,Standard,G,92,4,7
"Oh, Lady Be Good",39,Standard,F,92,5,4
Poor Butterfly,39,Standard,Ab,132,6,3
Sweet Georgia Brown,39,Standard,Ab,234,11,2
Too Marvelous For Words,39,Standard,G,138,5,9
A Time For Love,40,Ballad,Bb,76,2,"D2,9"
Early Autumn,40,Ballad,C,66,3,"D2,7"
I Cover The Waterfront,40,Ballad,F,61,2,"D1,7"
Nancy With The Laughing Face,40,Ballad,Eb,60,2,"D2,5"
Round Midnight,40,Ballad,Eb-,58,21/2,"D1,3"
You Go To My Head,40,Ballad,Eb,69,2,"D2,3"
Autumn In New York,40,Standard,F,69,3,"D1,6"
Days Of Wine And Roses,40,Standard,F,88,4,"D1,4"
I Know That You Know,40,Standard,C,264,10,"D2,8"
If I Love Again,40,Standard,F,232,7,"D2,4"
Love For Sale,40,Standard,Bb-,240,3,"D1,8"
Lullabye Of Birdland,40,Standard,Eb,138,7,"D1,2"
Namely You,40,Standard,Bb,138,5,"D2,2"
September In The Rain,40,Standard,Eb,126,4,"D1,5"
"Softly, As In A Morning Sunrise",40,Standard,C-,240,9,"D2,6"
Body And Soul,41,Ballad,Db,63,2,"D1,3"
Misty,41,Ballad,Eb,60,2,"D2,3"
Teach Me Tonight,41,Ballad,Eb,76,2,"D2,10"
